Script_Id,Genre
924,Thriller
924,Drama
810,Comedy
810,Drama
810,Romance
3,Drama
519,Comedy
519,Drama
1058,Action
1058,Drama
1058,Thriller
68,Drama
68,Romance
1078,Crime
1078,Drama
1078,Mystery
993,Short
993,Comedy
993,Romance
551,Thriller
551,Drama
551,Fantasy
668,Drama
184,Action
184,Thriller
184,Mystery
184,Drama
184,Adventure
405,Crime
405,Drama
134,Action
134,Sci-Fi
230,Horror
230,Thriller
116,Crime
116,Drama
638,Action
638,Adventure
638,Sci-Fi
576,Action
576,Comedy
576,Crime
576,Drama
576,Thriller
775,Action
775,Drama
775,Fantasy
775,Horror
775,Sci-Fi
731,Crime
731,Drama
731,Romance
731,Thriller
499,Drama
818,Drama
120,Comedy
120,Drama
533,Action
533,Adventure
533,War
460,Comedy
460,Crime
460,Mystery
460,Thriller
193,Drama
193,Mystery
65,Comedy
65,Drama
497,Horror
497,Thriller
1042,Drama
1042,Mystery
1042,Thriller
735,Animation
735,Comedy
735,Fantasy
735,Horror
735,Musical
563,Crime
563,Drama
563,Mystery
563,Thriller
10,Adventure
10,Sci-Fi
1020,Drama
525,Comedy
846,Sci-Fi
846,Action
846,Crime
716,Drama
235,Drama
235,Romance
104,Drama
104,Mystery
104,Thriller
109,Action
109,Comedy
109,Family
109,Sci-Fi
889,Drama
118,Comedy
385,Comedy
834,Comedy
834,Sci-Fi
918,Action
918,Comedy
918,Crime
918,Mystery
918,Romance
918,Thriller
1060,Animation
1060,Adventure
1060,Comedy
1060,Drama
1060,Family
1060,Romance
1060,Sci-Fi
461,Action
461,Crime
461,Mystery
634,Crime
634,Drama
634,Thriller
795,Animation
795,Adventure
795,Family
795,Fantasy
18,Drama
18,Musical
654,Adventure
654,Drama
654,Thriller
339,Drama
339,Fantasy
339,Romance
250,Action
250,Thriller
49,Drama
976,Drama
976,Thriller
545,Action
545,Drama
545,Sci-Fi
545,Thriller
144,Drama
256,Crime
256,Drama
273,Crime
273,Drama
877,Comedy
288,Action
288,Crime
288,Sci-Fi
288,Thriller
518,Horror
518,Mystery
518,Thriller
59,Drama
143,Drama
487,Fantasy
487,Horror
79,Thriller
79,Crime
79,Drama
1074,Crime
1074,Drama
1074,Thriller
232,Crime
232,Mystery
232,Thriller
760,Drama
760,Horror
760,Mystery
57,Comedy
57,Drama
1035,Action
1035,Comedy
1035,Sci-Fi
1008,Drama
1008,Mystery
1008,Thriller
156,Drama
311,Action
311,Thriller
1071,Horror.Mystery
1071,Thriller
1071,Drama
543,Drama
69,Drama
882,Drama
882,Fantasy
347,Drama
347,Thriller
276,Action
276,Fantasy
276,Thriller
276,Crime
878,Drama
878,Comedy
878,Romance
343,Drama
157,Drama
157,Mystery
157,Thriller
897,Horror
897,Sci-Fi
995,Drama
854,Western
948,Adventure
948,Drama
948,Romance
948,Sci-Fi
733,Horror
817,Horror
340,Action
340,Comedy
340,Horror
340,Sci-Fi
253,Action
253,Thriller
670,Sci-Fi
670,Action
670,Thriller
492,Crime
492,Drama
411,Comedy
411,Drama
381,Horror
381,Thriller
500,Adventure
500,Comedy
500,Sci-Fi
169,Comedy
169,Crime
171,Crime
171,Thriller
32,Drama
648,Drama
1015,Action
1015,Adventure
1015,Sci-Fi
1015,Thriller
613,Drama
613,Crime
613,Thriller
677,Animation
677,Action
677,Comedy
677,Family
677,Sci-Fi
38,Comedy
38,Sci-Fi
1016,Action
1016,Drama
1016,Thriller
333,Family
333,Sci-Fi
333,Adventure
333,Fantasy
1097,Action
1097,Thriller
1097,Adventure
489,Horror
45,Action
45,Horror
45,Sci-Fi
45,Thriller
349,Action
349,Sci-Fi
349,Thriller
1079,Adventure
1079,Drama
1085,Action
1085,Adventure
1085,Comedy
619,Crime
619,Drama
619,Thriller
280,Drama
280,Fantasy
280,Mystery
280,Romance
401,Comedy
401,Horror
401,Thriller
703,Drama
703,Mystery
703,Sci-Fi
703,Thriller
871,Action
871,Comedy
871,Fantasy
176,Crime
176,Drama
176,Romance
455,Horror
455,Mystery
455,Thriller
315,Thriller
796,Action
796,Adventure
796,Drama
796,Sci-Fi
561,Comedy
561,Horror
561,Thriller
683,Action
683,Crime
683,Drama
683,Thriller
907,Comedy
907,Crime
907,Musical
416,Crime
416,Drama
611,Comedy
611,Drama
848,Action
848,Comedy
848,Crime
868,Action
868,Crime
868,Drama
421,Action
421,Crime
421,Drama
421,Thriller
485,Action
485,Adventure
485,Fantasy
368,Action
368,Adventure
368,Fantasy
368,Sci-Fi
896,Drama
896,Romance
807,Horror
807,Mystery
807,Thriller
643,Action
643,Adventure
643,Sci-Fi
578,Action
578,Adventure
578,Drama
578,Mystery
578,Thriller
718,Comedy
718,Drama
718,Family
718,Romance
194,Comedy
261,Animation
261,Adventure
261,Family
261,Fantasy
208,Comedy
208,Drama
208,Thriller
74,Drama
74,Mystery
74,Thriller
251,Action
251,Crime
251,Drama
344,Drama
241,Action
241,Adventure
241,Drama
241,Fantasy
40,Drama
925,Comedy
925,Romance
925,Drama
221,Comedy
221,Drama
221,Romance
575,Comedy
575,Drama
847,Action
20,Animation
20,Adventure
20,Drama
20,Fantasy
20,Sci-Fi
693,Drama
970,Drama
970,Horror
970,Musical
1000,Comedy
1000,Family
114,Drama
114,Thriller
114,Western
