Script_id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc
178,"Book of Eli, The",10-Jan,7-Jun,"http://www.imsdb.com//scripts/Book-of-Eli,-The.html","raw_Script/Book of Eli, The.txt"
323,Double Indemnity,Sep-44,,http://www.imsdb.com//scripts/Double-Indemnity.html,raw_Script/Double Indemnity.txt
165,Blood Simple,,,http://www.imsdb.com//scripts/Blood-Simple.html,unclean
597,"Last of the Mohicans, The",Sep-92,,"http://www.imsdb.com//scripts/Last-of-the-Mohicans,-The.html","raw_Script/Last of the Mohicans, The.txt"
183,"Bounty Hunter, The",10-Mar,7-Sep,"http://www.imsdb.com//scripts/Bounty-Hunter,-The.html","raw_Script/Bounty Hunter, The.txt"
915,Smashed,12-Oct,11-Sep,http://www.imsdb.com//scripts/Smashed.html,raw_Script/Smashed.txt
580,"King's Speech, The",10-Dec,,"http://www.imsdb.com//scripts/King's-Speech,-The.html","raw_Script/King's Speech, The.txt"
163,"Blind Side, The",9-Nov,9-Apr,"http://www.imsdb.com//scripts/Blind-Side,-The.html","raw_Script/Blind Side, The.txt"
1044,Up in the Air,9-Dec,,http://www.imsdb.com//scripts/Up-in-the-Air.html,raw_Script/Up in the Air.txt
679,Men in Black,,1997,http://www.imsdb.com//scripts/Men-in-Black.html,raw_Script/Men in Black.txt
911,Sleepy Hollow,,Sep-98,http://www.imsdb.com//scripts/Sleepy-Hollow.html,unclean
231,Cherry Falls,Aug-00,Feb-98,http://www.imsdb.com//scripts/Cherry-Falls.html,raw_Script/Cherry Falls.txt
92,Arsenic and Old Lace,Sep-44,,http://www.imsdb.com//scripts/Arsenic-and-Old-Lace.html,raw_Script/Arsenic and Old Lace.txt
101,Autumn in New York,Aug-00,,http://www.imsdb.com//scripts/Autumn-in-New-York.html,raw_Script/Autumn in New York.txt
780,Petulia,Jun-68,Mar-67,http://www.imsdb.com//scripts/Petulia.html,raw_Script/Petulia.txt
496,Highlander: Endgame,,Sep-99,http://www.imsdb.com//scripts/Highlander-Endgame.html,unclean
73,Angel Eyes,,Oct-99,http://www.imsdb.com//scripts/Angel-Eyes.html,raw_Script/Angel Eyes.txt
946,Star Wars: The Empire Strikes Back,May-80,,http://www.imsdb.com//scripts/Star-Wars-The-Empire-Strikes-Back.html,raw_Script/Star Wars: The Empire Strikes Back.txt
991,They,,,http://www.imsdb.com//scripts/They.html,unclean
196,Broadcast News,,,http://www.imsdb.com//scripts/Broadcast-News.html,unclean
1037,U Turn,,,http://www.imsdb.com//scripts/U-Turn.html,unclean
490,"Help, The",11-Aug,9-Nov,"http://www.imsdb.com//scripts/Help,-The.html","raw_Script/Help, The.txt"
236,"Cincinnati Kid, The",Oct-65,,"http://www.imsdb.com//scripts/Cincinnati-Kid,-The.html","raw_Script/Cincinnati Kid, The.txt"
644,Made,,,http://www.imsdb.com//scripts/Made.html,unclean
808,Prometheus,12-Jun,,http://www.imsdb.com//scripts/Prometheus.html,raw_Script/Prometheus.txt
332,Dune,,Dec-83,http://www.imsdb.com//scripts/Dune.html,raw_Script/Dune.txt
61,American Pie,,Jul-98,http://www.imsdb.com//scripts/American-Pie.html,unclean
390,Four Rooms,Dec-95,,http://www.imsdb.com//scripts/Four-Rooms.html,raw_Script/Four Rooms.txt
220,Cedar Rapids,11-Feb,9-Jun,http://www.imsdb.com//scripts/Cedar-Rapids.html,raw_Script/Cedar Rapids.txt
968,Surrogates,9-Sep,7-Oct,http://www.imsdb.com//scripts/Surrogates.html,raw_Script/Surrogates.txt
272,"Crouching Tiger, Hidden Dragon",,,"http://www.imsdb.com//scripts/Crouching-Tiger,-Hidden-Dragon.html","raw_Script/Crouching Tiger, Hidden Dragon.txt"
1093,Witness,,,http://www.imsdb.com//scripts/Witness.html,unclean
1080,Whiteout,9-Sep,6-Dec,http://www.imsdb.com//scripts/Whiteout.html,raw_Script/Whiteout.txt
689,Miller's Crossing,,,http://www.imsdb.com//scripts/Miller's-Crossing.html,unclean
36,Air Force One,,,http://www.imsdb.com//scripts/Air-Force-One.html,unclean
530,Indiana Jones and the Temple of Doom,,1984,http://www.imsdb.com//scripts/Indiana-Jones-and-the-Temple-of-Doom.html,raw_Script/Indiana Jones and the Temple of Doom.txt
672,Max Payne,8-Oct,7-Aug,http://www.imsdb.com//scripts/Max-Payne.html,raw_Script/Max Payne.txt
1084,"Wild Bunch, The",Jun-69,Feb-68,"http://www.imsdb.com//scripts/Wild-Bunch,-The.html","raw_Script/Wild Bunch, The.txt"
667,Master and Commander,3-Nov,,http://www.imsdb.com//scripts/Master-and-Commander.html,raw_Script/Master and Commander.txt
122,Barton Fink,,,http://www.imsdb.com//scripts/Barton-Fink.html,unclean
856,Runaway Bride,,1999,http://www.imsdb.com//scripts/Runaway-Bride.html,raw_Script/Runaway Bride.txt
12,25th Hour,,1-Apr,http://www.imsdb.com//scripts/25th-Hour.html,unclean
944,Star Wars: Return of the Jedi,,Dec-81,http://www.imsdb.com//scripts/Star-Wars-Return-of-the-Jedi.html,raw_Script/Star Wars: Return of the Jedi.txt
112,Backdraft,,1991,http://www.imsdb.com//scripts/Backdraft.html,raw_Script/Backdraft.txt
164,Blood and Wine,Feb-97,Dec-94,http://www.imsdb.com//scripts/Blood-and-Wine.html,raw_Script/Blood and Wine.txt
398,Friday the 13th,,,http://www.imsdb.com//scripts/Friday-the-13th.html,unclean
1013,Tomorrow Never Dies,,1997,http://www.imsdb.com//scripts/Tomorrow-Never-Dies.html,raw_Script/Tomorrow Never Dies.txt
126,Batman,,Oct-88,http://www.imsdb.com//scripts/Batman.html,unclean
245,Clueless,,1995,http://www.imsdb.com//scripts/Clueless.html,unclean
345,Enemy of the State,,1998,http://www.imsdb.com//scripts/Enemy-of-the-State.html,unclean
46,Aliens,,May-85,http://www.imsdb.com//scripts/Aliens.html,unclean
151,"Big White, The",5-Dec,4-Mar,"http://www.imsdb.com//scripts/Big-White,-The.html","raw_Script/Big White, The.txt"
89,Argo,12-Oct,,http://www.imsdb.com//scripts/Argo.html,raw_Script/Argo.txt
242,Clerks,,,http://www.imsdb.com//scripts/Clerks.html,unclean
599,"Last Station, The",9-Dec,,"http://www.imsdb.com//scripts/Last-Station,-The.html","raw_Script/Last Station, The.txt"
87,Arcade,,Nov-90,http://www.imsdb.com//scripts/Arcade.html,raw_Script/Arcade.txt
162,"Blast from the Past, The",,,"http://www.imsdb.com//scripts/Blast-from-the-Past,-The.html",unclean
959,Sugar,9-Apr,,http://www.imsdb.com//scripts/Sugar.html,raw_Script/Sugar.txt
384,Flash Gordon,Dec-80,Mar-79,http://www.imsdb.com//scripts/Flash-Gordon.html,raw_Script/Flash Gordon.txt
926,Source Code,11-Apr,7-Jan,http://www.imsdb.com//scripts/Source-Code.html,raw_Script/Source Code.txt
650,Man in the Iron Mask,,Sep-95,http://www.imsdb.com//scripts/Man-in-the-Iron-Mask.html,unclean
64,American Shaolin: King of Kickboxers II,,,http://www.imsdb.com//scripts/American-Shaolin-King-of-Kickboxers-II.html,raw_Script/American Shaolin: King of Kickboxers II.txt
291,Dawn of the Dead,,1977,http://www.imsdb.com//scripts/Dawn-of-the-Dead.html,raw_Script/Dawn of the Dead.txt
653,Man Trouble,,Apr-91,http://www.imsdb.com//scripts/Man-Trouble.html,raw_Script/Man Trouble.txt
486,Hellraiser,,Nov-86,http://www.imsdb.com//scripts/Hellraiser.html,unclean
681,"Men Who Stare at Goats, The",9-Nov,8-Oct,"http://www.imsdb.com//scripts/Men-Who-Stare-at-Goats,-The.html","raw_Script/Men Who Stare at Goats, The.txt"
