Script_Id,Writer_Name
924,Danilo Bach
924,David Seltzer
810,Pete Chiarelli
3,Anthony Cipriano
519,James L. Brooks
1058,Mort Briskin
1058,David Klass
68,Michael Haneke
1078,Michael Haneke
993,Burleigh Smith
551,Marc Rocco
551,Tom Bleecker
551,Massy Tadjedin
668,Paul Thomas Anderson
184,Tony Gilroy
184,Robert Ludlum
405,Courtney Hunt
134,Chris Bertolini
230,Michael Walker
116,Abel Ferrara
116,Zoe Lund
638,Irwin Allen
638,Akiva Goldsman
576,Quentin Tarantino
775,Glenn Standring
731,Paul Haggis
499,John J. McLaughlin
499,Stephen Rebello
818,Peter Morgan
120,Spike Lee
533,Quentin Tarantino
460,Jon Lucas
460,Scott Moore
193,Rian Johnson
65,Robert Pulcini
65,Shari Springer Berman
497,Alexandre Aja
497,Gregory Levasseur
1042,Oliver Butcher
1042,Stephen Cornwell
735,Caroline Thompson
563,Jim Marrs
563,Jim Garrison
563,Oliver Stone
563,Zachary Sklar
10,Stanley Kubrick
10,Arhur C. Clarke
1020,Irvine Welsh
1020,John Hodge
525,Jesse Armstrong
525,Simon Blackwell
525,Armando Iannucci
525,Tony Roche
846,Michael Miner
846,Edward Neumeier
716,Pamela Gray
235,John Irving
104,Michelangelo Antonioni
104,Elio Bartolini
104,Tonino Guerra
109,Robert Zemeckis
109,Bob Gale
889,Steve McQueen
889,Abi Morgan
118,Lee Eisenberg
118,Gene Stupnitsky
385,Phil A. Robinson
385,Andrew Bergman
834,Alex Cox
918,Phil Alden Robinson
918,Lawrence Lasker
1060,Andrew Stanton
1060,Pete Docter
461,Seth Lochead
634,Andrew Niccol
795,Masamitsu Hidaka
18,Scott Silver
654,John Michael Hayes
339,Tim Burton
339,Caroline Thompson
250,Ronald Roose
49,Robert Rossen
976,Stephen Gaghan
976,Robert Baer
545,Caspian Tredwell-Owen
144,Richard LaGravenese
144,Toni Morrisson
256,Doug Jung
273,Paul Mayersberg
877,Scot Armstrong
288,Joshua Goldin
288,Daniel Goldin
288,Sam Raimi
288,Ivan Raimi
288,Chuck Pfarrer
518,Trey Callaway
59,Robert Riskin
143,Henry Bean
143,Mark Jacobson
487,Peter Atkins
487,Tony Randel
79,Howard Franklin
1074,Susan Montford
1074,Edward Bryant
232,Robert Towne
760,David Leslie Johnson
57,George Lucas
57,Gloria Katz
57,Willard Huyck
1035,William Osborne
1035,William Davies
1035,Timothy Harris
1035,Hershel Weingrod
1035,William Goldman
1008,Bridget O'Connor
1008,Peter Straughan
156,Craig Brewer
311,Jeb Stuart
311,Steven E. De Souza
1071,Sarah Kernochan
1071,Clark Gregg
543,Anthony Peckham
69,Nick Hornby
69,Lynn Barber
882,Ingmar Bergman
347,Nicholas Kazan
276,David S Goyer
276,James O'Barr
878,Jane Austen
878,Emma Thompson
343,Christopher De Vore
343,Eric Bergren
343,David Lynch
157,Mark Heyman
157,Andres Heinz
157,John McLaughlin
897,David Cronenberg
995,Robert Getchell
854,Hugo Butler
854,Geoffrey Homes
854,Peter Viertel
948,Bruce A. Evans
948,Raynold Gideon
733,Steven Spielberg
817,Scott Abbott
817,Michael Petroni
340,Jesse Alexander
340, Ellory Elkayem
253,Richard Tuggle
670,Andy Wachowski
670,Larry Wachowski
492,Sacha Gervasi
411,Don DeLillo
381,J. Mackye Gruber
381,Eric Bress
500,Douglas Adams
169,John Landis
169,Dan Aykroyd
171,Lawrence Kasdan
32,Russell Banks
32,Paul Schrader
648,Spike Lee
648,Arnold Perl
1015,Ronald Shusett
1015,Dan O'Bannon
1015,Steven Pressfield
613,Charles Randolph
677,Alan Schoolcraft
677,Brent Simons
38,Ken Finkleman
1016,Julian Fellowes
333,Melissa Mathison
1097,Neal Purvis
1097,Robert Wade
1097,Bruce Feirstein
1097,Ian Fleming
489,Carl Dupre
489,Clive Barker
45,Joss Whedon
349,Kurt Wimmer
1079,Charles Gieg Jr
1079,Felix Sutton
1079,Todd Robinson
1085,Brad Copeland
619,John Romano
619,Michael Connelly
280,Eric Roth
401,Tom Holland
703,Duncan Jones
703,Nathan Parker
871,Edgar Wright
871,Michael Bacall
176,David Newman
176,Robert Benton
455,Stephen Susco
315,Christopher Landon
315,Carl Ellsworth
796,Brian Helgeland
796,Eric Roth
561,Diablo Cody
683,Michael Mann
683,Anthony Yerkovich
907,Paul Rudnick
416,Jay Cocks
416,Steven Zaillian
416,Kenneth Lonergan
611,Robert Ramsey
611,Matthew Stone
848,Guy Ritchie
868,Oliver Stone
421,Walter Hill
485,Guillermo del Toro
368,Mark Frost
368,Michael France
896,E. Annie Proulx
896,Robert Nelson Jacobs
807,William Gray
807,Bob Guza
643,Terry Hayes
643,George Miller
643,Brian Hannant
578,Fran Walsh
578,Philippa Boyens
578,Peter Jackson
718,Laurice Elehwany
194,Annie Mumolo
261,Henry Selick
261,Neil Gaiman
208,Lou Holtz Jr.
208,Judd Apatow
74,David Koepp
74,Akiva Goldsman
251,Robert Mark Kamen
251,Luc Besson
344,William Nicholson
344,Michael Hirst
241,John Glenn
241,Travis Wright
40,Stephen J Rivele
40,Christopher Wilkinson
40,Eric Roth
40,Michael Mann
925,Nancy Meyers
221,Rashida Jones
221,Will McCormack
575,Lisa Cholodenko
575,Stuart Blumberg
847,Jonathan Hensleigh
20,Pamela Pettler
20,Shane Acker
693,William Gibson
970,John Logan
1000,Jim Cruickshank
1000,James Orr
1000,Colline Serreau
114,Don McGuire
114,Millard Kaufman
114,Howard Breslin
529,George Lucas
529,Philip Kaufman
529,Lawrence Kasda
1088,S. S. Wilson
1088,Brent Maddock
1088,Jeffrey Price
1088,Peter S. Seaman
1088,Jim Thomas
1088,John Thomas
37,Jim Abrahams
37, David Zucker
37,Jerry Zucker
804,Billy Wilder
804,I.A.L Diamond
865,Duane G. Adler
865,Toni-Ann Johnson
865,Cheryl Edwards
931,Graham Yost
559,Kevin Smith
175,Michael Cristofer
728,Bob Tzudiker
728,Noni White
728,David Fallon
728,Tom Rickman
777,Stephen Chbosky
1101,David Benioff
1101,Skip Woods
671,Larry Wachowski
671,Andy Wachowski
264,Alex Kurtzman
264,Roberto Orci
264,Damon Lindelof
639,Sofia Coppola
798,Geoffrey Fletcher
1072,Steve Feke
1072,Fred Walton
748,Joseph Kosinski
748,Karl Gajdusek
748,William Monahan
649,Fax Bahr
649,Adam Small
649,Jamie Kennedy
649,Nick Swardson
1025,Richard Jefferies
706,Melvin Frank
706,Norman Panama
708,Clarence Budington Kelland
708,Robert Riskin
734,Clive Barker
773,Leo Marks
456,Rafael Moreu
632,Peter Jackson
632,Fran Walsh
632,Philippa Boyens
180,Troy Duffy
801,Deborah Moggach
767,Chris Butler
209,Nick Green
1046,Andy Wachowski
1046,Larry Wachowski
732,Patrick Duncan
732,Ebbe Roe Smith
664,Paddy Chayefsky
886,Steven Katz
352,John Carpenter
352,Debra Hill
352,Kurt Russell
219,John Waters
620,Irene Mecchi
620,Jonathan Roberts
97,Dan Gordon
97,Sabi H. Shabtai
717,Ronald Bass
577,Roger Avary
802,Cory Goodman
71,Peter Tolan
71,Harold Ramis
71,Kenneth Lonergan
255,Charlie Kaufman
125,Julian Schnabel
28,Charlie Kaufman
28,Donald Kaufman
1001,David Loughery
244,Stanley Kubrick
956,James Cameron
956,Jay Cocks
431,David Franzoni
431,John Logan
642,Jason Keller
573,James Mangold
573,Steven Rogers
119,Terence Malick
841,David Lindsay-Abaire
149,Daniel Wallace
149,John August
595,Joel Hopkins
446,Bela Balazs
682,Randy Feldman
325,Hal Barwood
325,Matthew Robbins
516,Kristine Johnson
516,Jessie Nelson
951,Frank Fenton
951,Winston Miller
951,Luke Short
754,Douglas Day Stewart
238,Brian Helgeland
366,Jez Butterworth
366,John-Henry Butterworth
514,Charlie Kaufman
466,Graham Yost
560,Bruce Robinson
451,Charlie Haas
211,Lawrence D. Cohen
211,Stephen King
588,M. Night Shyamalan
835,Margery Sharp
835,Jim Cox
835,Karey Kirkpatrick
598,John Logan
598,Edward Zwick
598,Marshall Herskovitz
292,George A. Romero
614,David Magee
614,Yann Martel
809,Gregory Widen
550,Donna Powers
550,Wayne Powers
550,Troy Kennedy-Martin
508,Keir Pearson
508,Terry George
1063,Josh Friedman
1063,David Koepp
91,Sam Raimi
91,Ivan Raimi
517,Glenn Ficarra
517,John Requa
1090,Tom McCarthy
226,Tony Giglio
546,Samuel Hopkins Adams
546,Robert Riskin
259,Frank Hannah
259,Wayne Kramer
1067,Richard Lagravenese
532,Scott Z. Burns
532,Kurt Eichenwald
326,Hossein Amini
326,James Sallis
757,Nicolas Winding Refn
586,Jonathan Aibel
586,Glenn Berger
824,David Hare
824,Bernhard Schlink
223,Larry Cohen
223,Chris Morgan
223,J. Mackye Gruber
223,Eric Bress
881,Ben Lewin
418,Mike Hodges
418,Ted Lewis
359,Rospo Pallenberg
359,John Boorman
254,Thomas Dean Donnelly
254,Joshua Oppenheimer
430,Steven Zaillian
764,Thomas Lennon
764,Robert Ben Garant
764,Jason Fulardi
594,Shane Black
252,Billy Ray
252,Matthew Chapman
987,John Brancato
987,Michael Ferris
601,Frank Darabont
601,Kurt Wimmer
290,Jeff Arch
290,Dave Barry
505,Paddy Chayefsky
266,Mark Neveldine
266,Brian Taylor
787,Ted Elliot
787,Terry Rossio
283,Michael Blake
564,Randall Rubin
564,Jon Schroder
319,Kevin Smith
393,Steph Lady
393,Frank Darabont
137,Lucy Alibar
137,Benh Zeitlin
115,Andrew Fleming
115,Steven E. de Souza
369,Roald Dahl
369,Wes Anderson
369,Noah Baumbach
751,Ted Griffin
751,George Clayton Johnson
751,Jack Golden Russell
751,Harry Brown
751,Charles Lederer
605,Peter Schink
605,Scott Stewart
524,Robert Festinger
524,Todd Field
355,Tom Robbins
355,Gus Van Sant
44,Peter Briggs
322,Randall Jahnson
322,Oliver Stone
84,Danilo Bach
299,Matthew Vaughn
299,Jane Goldman
299,Peter Straughan
394,Tim Burns
394,Tom Stern
394,Alex Winter
920,Evan Daugherty
920,John Lee Hancock
920,Hossein Amini
1057,Karen Janszen
651,Brian Helgeland
892,Sean Anders
892,John Morris
536,Leigh Whannell
90,Jonathan Hensleigh
90,J.J. Abrams
992,John W. Campbell Jr.
992,Bill Lancaster
658,Kenneth Lonergan
520,Hillary Seitz
147,Gary Ross
147,Anne Spielberg
637,James Hilton
637,Robert Riskin
1049,Cameron Crowe
714,Lawrence Kasdan
660,Noah Baumbach
30,George Nolfi
30,Philip K Dick
42,Rex Pickett
707,Bruce A. Evans
707,Raynold Gideon
523,Terry McKeown
523,Charles Gilliam
975,Charlie Kaufman
704,Wes Anderson
704,Roman Coppola
217,Jeff Nathanson
1004,Dan Kay
1004,Tony Giglio
977,Michael Pye
977,Jon Bokenkamp
898,William Steig
898,Ted Elliott
247,Michael Butler
247,Dennis Shryack
247,Mike Gray
247,John Mason
309,Carl Franklin
309,Walter Mosley
170,Roger Hedden
815,Albert Magnoli
815,William Blinn
694,Alexandre Aja
694,Gregory Levasseur
301,Michael Tolkin
301,Henry Bean
262,John Logan
262,William Shakespeare
574,Larry Clark
574,Harmony Korine
647,David S. Ward
887,Marc Norman
887,Tom Stoppard
686,Woody Allen
186,Tony Gilroy
186,Scott Z. Burns
186,George Nolfi
24,Steven Pressfield
24,Ronald Shusett
24,Andrew Davis
24,Steven Seagal
674,Karl Gajdusek
674,Lewis John Carlino
212,Ben Queen
1098,Rob Siegel
621,Jeff Zuber
621,Tom Zuber
365,Mike Werb
365,Michael Colleary
1028,Joel Cohen
1028,Ethan Coen
1028,Charles Portis
105,Steven Zaillian
800,J.F. Lawton
353,John Carpenter
353,Nick Castle
314,Adam Resnick
584,Robert Benton
14,Louis Mellis
14,David Scinto
1051,Alec Coppel
1051,Samuel Taylor
267,J.G. Ballard
267,David Cronenberg
908,John Guare
477,Michael Mann
70,Peter Steinfeld
70,Harold Ramis
70,Peter Tolan
70,Kenneth Longeran
336,Bert V. Royal
1009,James Cameron
327,Todd Farmer
327,Patrick Lussier
387,Steven E. De Souza
199,Rian Johnson
310,Andrew Neiderman
310,Jonathan Lemkin
709,Patrick Sheane Duncan
415,Jim Kouf
447,Jeremy Drysdale
765,Travis Milloy
33,David H. Steinberg
786,Judd Apatow
786,Seth Rogen
786,Evan Goldberg
1077,Joe Carnahan
1077,Matthew Michael Carnahan
111,Kate Angelo
1108,Mark Boal
784,Ronald Harwood
784,Wladyslaw Szpilman
688,Dustin Lance Black
481,Jonathan Kesselman
662,Don Roos
482,David Mamet
1107,Gustin Nash
603,Karen McCullah Lutz
603,Kirsten Smith
711,Jeff Nichols
557,Peter Benchley
557,Carl Gottlieb
410,Stuart Beattie
410,John Lee Hancock
410,Brian Koppelman
410,David Levien
117,Glenn Ficarra
117,John Requa
1103,Harold Ramis
1103,Gene Stupnitsky
1103,Lee Eisenberg
161,David S. Goyer
187,Richard Kelly
187,Richard Matheson
978,Peter Stone
978,John Godey
855,Scott Smith
427,Dan Aykroyd
427,Harold Ramis
153,Tom Butterworth
153,Jez Butterworth
413,Mark Neveldine
413,Brian Taylor
139,Mike Mills
606,William Nicholson
606,Alain Boublil
606,Claude- Michel Schonberg
606,Herbert Kretzmer
379,Scott Silver
379,Paul Tamasy
379,Eric Johnson
850,Richard O'Brien
850, Jim Sharman
874,Kevin Williamson
874,Ehren Kruger
981,Michael Hogan
981,Paul P Fix
981,Gordon Ray Young
191,Jonathan Mostow
966,David Odell
947,George Lucas
177,Paul Thomas Anderson
982,Moira Buffini
436,Mario Puzo
436,Francis Ford Coppola
867,James Wan
867,Leigh Whannell
479,Fran Walsh
479,Peter Jackson
1006,John Norville
1006,Ron Shelton
400,Marti Noxon
860,Jacques Audiard
860,Thomas Bidegain
422,Bruce Joel Rubin
465,George Miller
465,John Collee
271,Brad Mirman
894,Eran Creevy
964,Seth Rogen
964,Evan Goldberg
234,C.S. Lewis
234,Ann Peacock
168,David Lynch
29,Charles Addams
29,Caroline Thompson
257,Jamie Delano
257,Garth Ennis
727,Emily Fox
641,Robert Rodriguez
304,Clayton Frohman
304,Edward Zwick
522,George Clooney
522,Grant Heslov
522,Beau Willimon
75,Tom Stoppard
1007,Barry Levinson
281,Eric Stuyvesant
1087,Andy Hurst
1087,Ross Helford
1094,Noel Langley
1094,Florence Ryerson
1094,Edgar Allen Woolf
1075,Eilis Kirwan
1075,Larysa Kondracki
282,Peter Morgan
282,David Peace
382,Andrew Stanton
308,Carl V Dupre
661,Robert Rodriguez
949,Robert A. Heinlein
949,Edward Neumeier
851,William Shakespeare
851,Craig Pearce
851,Baz Luhrmann
1029,Claude Zidi
1029,Simon Michaël
1029,Didier Kaminka
1029,James Cameron
123,James Vanderbilt
954,David Koepp
954,Richard Matheson
885,Ken Kwapis
917,Guy Ritchie
745,Richard Curtis
316,Quentin Tarantino
146,Ol Parker
1050,Barry Reed
1050,David Mamet
374,Patrick Melton
374,Marcus Dunston
615,Paul Schrader
1038,Nicole Eastman
1038,Tracey Jackson
1038,Peter Hume
1038,David Diamond
1038,David Weissman
1038,Roger Kumble
963,J.J. Abrams
1065,Gavin O'Connor
1065,Anthony Tambakis
1065,Cliff Dorfman
932,Larry Wachowski
932,Andy Wachowski
923,David Webb Peoples
265,John O'Brian
265,Channing Gibson
494,Nick Hornby
494,D.V. DeVincentis
979,Ronald Harwood
334,John Glenn
334,Travis Wright
459,Vincent Ngo
459,Vince Gilligan
769,Joseph Delteil
769,Carl Theodor Dreyer
102,James Cameron
1032,Melissa Rosenberg
468,Jon Hurwitz
468,Hayden Schlossberg
17,Scott Neustadter
17,Michael H. Weber
1010,Kevin Munroe
901,Lawrence Wright
901,Menno Meyjes
901,Edward Zwick
958,Lawrence B. Marcus
958,Richard Rush
958,Paul Brodeur
246,Ron Shelton
965,Keith Strandburg
582,Leonard Schrader
705,John Patrick Shanley
268,Dan Fogelman
1021,Ron Friedman
297,Chris Rock
297,Aeysha Carr
942,George Lucas
758,Alvin Sargent
758,Judith Guest
729,Gary Goldman
656,Richard Condon
656,George Axelrod
656,Dean Georgaris
16,Will Reiser
317,Spike Lee
537,Hilary Seitz
503,Michael Markowitz
1066,David Hayter
1066,Alex Tse
205,Joel Coen
205,Ethan Coen
1061,Michael Brandt
1061,Derek Haas
659,J.C. Chandor
631,Frances Walsh
631,Philippa Boyens
631,Peter Jackson
617,Leslie Dixon
943,George Lucas
403,Daniel Taradash
985,Harlan Ellison
985,James Cameron
985,Gale Anne Hurd
985,William Wisher Jr.
618,Tony Kushner
997,Ashley Miller
997,Zack Stentz
419,Chris Provenzano
419,Scott Seeke
419,C. Gaby Mitchell
610,Tom Shadyac
610,Mike Binder
1102,Rich Wilkes
224,Jon Lucas
224,Scott Moore
676,Richard Connell
676,Robert Presnell Sr.
55,Alan Ball
356,Philip Eisner
289,Josh Klausner
996,Judd Apatow
198,Pedro Almodovar
488,Clive Barker
488,Neal Marshall Stevens
488,Tim Day
429,Karen Walton
794,W. Peter Iliff
794,Rick King
794,Kathryn Bigelow
591,David E Kelley
589,Dennis Lee
589,Jim Henson
589,Terry Jones
589,Elaine May
687,John Kamps
687,Arne Olsen
108,Paddy Chayefsky
167,Derek Cianfrance
167,Cami Delavigne
167,Joey Curtis
467,Steven Pressfield
