Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc,rt_id,rt_title,rt_year,rt_critics_score,rt_audience_score
209,Candle to Water,12-Nov,12-May,http://www.imsdb.com//scripts/Candle-to-Water.html,raw_Script/Candle to Water.txt,771369698.0,Candle To Water,2013.0,-1.0,0.0
210,Capote,6-Feb,,http://www.imsdb.com//scripts/Capote.html,raw_Script/Capote.txt,8267.0,Capote,2005.0,90.0,81.0
211,Carrie,Nov-76,,http://www.imsdb.com//scripts/Carrie.html,raw_Script/Carrie.txt,771305077.0,Carrie,2013.0,49.0,48.0
212,Cars 2,11-Jun,,http://www.imsdb.com//scripts/Cars-2.html,raw_Script/Cars 2.txt,770805427.0,Cars 2,2011.0,39.0,51.0
214,Case 39,10-Oct,6-Feb,http://www.imsdb.com//scripts/Case-39.html,raw_Script/Case 39.txt,770680570.0,Case 39,2010.0,22.0,40.0
217,Catch Me If You Can,2-Dec,,http://www.imsdb.com//scripts/Catch-Me-If-You-Can.html,raw_Script/Catch Me If You Can.txt,10662.0,Catch Me If You Can,2002.0,96.0,89.0
219,Cecil B. Demented,Aug-00,Jun-98,http://www.imsdb.com//scripts/Cecil-B.-Demented.html,raw_Script/Cecil B. Demented.txt,14425.0,Cecil B. Demented,2000.0,52.0,68.0
220,Cedar Rapids,11-Feb,9-Jun,http://www.imsdb.com//scripts/Cedar-Rapids.html,raw_Script/Cedar Rapids.txt,771193483.0,Cedar Rapids,2011.0,85.0,60.0
221,Celeste & Jesse Forever,12-Aug,11-May,http://www.imsdb.com//scripts/Celeste-&-Jesse-Forever.html,raw_Script/Celeste & Jesse Forever.txt,771266291.0,Celeste and Jesse Forever,2012.0,70.0,62.0
223,Cellular,4-Sep,3-Jul,http://www.imsdb.com//scripts/Cellular.html,raw_Script/Cellular.txt,12750.0,Cellular,2004.0,55.0,60.0
224,"Change-Up, The",11-Aug,9-Jul,"http://www.imsdb.com//scripts/Change-Up,-The.html","raw_Script/Change-Up, The.txt",771041150.0,The Change-Up,2011.0,25.0,48.0
225,Changeling,8-Oct,,http://www.imsdb.com//scripts/Changeling.html,raw_Script/Changeling.txt,770677185.0,Changeling,2008.0,62.0,82.0
226,Chaos,5-Dec,4-Mar,http://www.imsdb.com//scripts/Chaos.html,raw_Script/Chaos.txt,292599401.0,Chaos,2006.0,20.0,58.0
