Script_Id,Genre
1026,Comedy
1026,War
789,Horror
789,Sci-Fi
789,Thriller
555,Drama
555,Romance
928,Comedy
928,Romance
928,Drama
313,Comedy
313,Drama
94,Romance
94,Comedy
94,Drama
989,Action
989,Crime
989,Drama
989,Thriller
307,Animation
307,Adventure
307,Comedy
622,Family
622,Animation
622,Comedy
622,Musical
622,Romance
622,Fantasy
858,Action
858,Comedy
858,Crime
1052,Comedy
1052,Thriller
25,Thriller
25,Crime
25,Drama
260,Crime
260,Horror
260,Mystery
260,Thriller
933,Sci-Fi
933,Thriller
553,Drama
553,Thriller
510,Comedy
510,Romance
35,Drama
35,Mystery
744,Comedy
744,Romance
590,Comedy
590,Crime
200,Comedy
200,Fantasy
200,Romance
740,Drama
740,Horror
740,Mystery
740,Thriller
685,Crime
685,Drama
685,Thriller
936,Action
936,Adventure
936,Sci-Fi
583,Crime
583,Drama
583,Mystery
583,Thriller
572,Crime
572,Thriller
450,Comedy
450,Fantasy
450,Horror
278,Action
278,Drama
278,Romance
136,Comedy
402,Action
402,Comedy
402,Horror
402,Thriller
269,Drama
269,Romance
531,Action
531,Adventure
916,Action
916,Comedy
916,Crime
916,Drama
869,Comedy
869,Horror
869,Sci-Fi
495,Action
495,Fantasy
54,Drama
493,Drama
331,Adventure
331,Comedy
203,Drama
203,Mystery
203,Thriller
8,Comedy
8,Drama
8,Romance
225,Crime
225,Drama
225,Mystery
480,Action
480,Adventure
480,Animation
480,Fantasy
480,Horror
480,Sci-Fi
738,Comedy
738,Horror
738,Mystery
969,Thriller
969,Crime
969,Horror
969,Drama
31,Adventure
31,Comedy
31,Romance
31,Sci-Fi
629,Action
629,Crime
629,Sci-Fi
746,Comedy
746,Thriller
445,Crime
445,Drama
285,Action
285,Crime
285,Thriller
4,Drama
4,Sci-Fi
4,Thriller
730,Comedy
373,Comedy
373,Drama
999,Action
999,Adventure
999,War
1086,Crime
1086,Drama
797,Drama
625,Crime
625,Thriller
625,Comedy
905,Comedy
905,Drama
905,Romance
86,Drama
86,Thriller
612,Comedy
612,Drama
192,Comedy
192,Drama
838,Action
838,Drama
838,Sci-Fi
675,Fantasy
675,Mystery
675,Romance
675,Drama
914,Crime
914,Drama
914,Romance
335,Crime
335,Drama
335,Mystery
335,Thriller
663,Drama
663,Thriller
201,Action
201,Comedy
201,Horror
179,Action
179,Crime
179,Drama
179,Thriller
506,Action
506,Crime
506,Drama
506,Thriller
110,Adventure
110,Comedy
110,Family
110,Sci-Fi
110,Western
380,Horror
380,Thriller
159,Action
159,Horror
159,Thriller
48,Comedy
701,Drama
701,Romance
392,Drama
864,Comedy
864,Drama
864,Family
853,Drama
853,Horror
853,Thriller
1062,Drama
1062,War
295,Drama
739,Drama
739,Musical
739,Romance
828,Action
828,Sci-Fi
828,Thriller
239,Drama
239,Mystery
408,Comedy
408,Drama
833,Comedy
635,Action
635,Adventure
635,Crime
635,Mystery
635,Thriller
791,Comedy
791,Romance
845,Action
845,Adventure
845,Drama
924,Action
924,Crime
924,Thriller
924,Drama
303,Drama
303,War
810,Comedy
810,Drama
810,Romance
3,Drama
519,Comedy
519,Drama
890,Drama
1058,Action
1058,Drama
1058,Thriller
68,Drama
68,Romance
1078,Crime
1078,Drama
1078,Mystery
993,Short
993,Comedy
993,Romance
551,Thriller
551,Drama
551,Fantasy
668,Drama
184,Action
184,Thriller
184,Mystery
184,Drama
184,Adventure
405,Crime
405,Drama
134,Action
134,Sci-Fi
412,Mystery
412,Thriller
696,Action
696,Adventure
696,Thriller
891,Drama
645,Drama
230,Horror
230,Thriller
279,Thriller
279,Sci-Fi
279,Horror
279,Mystery
174,Horror
116,Crime
116,Drama
441,Comedy
441,Drama
638,Action
638,Adventure
638,Sci-Fi
785,Drama
785,Romance
576,Action
576,Comedy
576,Crime
576,Drama
576,Thriller
799,Action
799,Horror
799,Sci-Fi
799,Thriller
775,Action
775,Drama
775,Fantasy
775,Horror
775,Sci-Fi
395,Action
395,Fantasy
395,Horror
395,Thriller
731,Crime
731,Drama
731,Romance
731,Thriller
499,Drama
818,Drama
166,Crime
166,Drama
120,Comedy
120,Drama
945,Sci-Fi
945,Adventure
945,Action
945,Fantasy
533,Action
533,Adventure
533,War
85,Drama
85,Thriller
460,Comedy
460,Crime
460,Mystery
460,Thriller
81,Comedy
569,Action
569,Adventure
569,Horror
569,Sci-Fi
569,Thriller
193,Drama
193,Mystery
65,Comedy
65,Drama
849,Drama
849,Romance
912,Drama
497,Horror
497,Thriller
66,Comedy
66,Horror
66,Romance
1042,Drama
1042,Mystery
1042,Thriller
148,Drama
148,Romance
735,Animation
735,Comedy
735,Fantasy
735,Horror
735,Musical
563,Crime
563,Drama
563,Mystery
563,Thriller
10,Adventure
10,Sci-Fi
902,Drama
902,Horror
902,Sci-Fi
902,Thriller
438,Sci-Fi
438,Action
438,Thriller
1020,Drama
367,Comedy
367,Romance
821,Comedy
525,Comedy
846,Sci-Fi
846,Action
846,Crime
716,Drama
235,Drama
235,Romance
104,Drama
104,Mystery
104,Thriller
109,Action
109,Comedy
109,Family
109,Sci-Fi
889,Drama
437,Drama
118,Comedy
385,Comedy
834,Comedy
834,Sci-Fi
396,Action
396,Crime
396,Thriller
918,Action
918,Comedy
918,Crime
918,Mystery
918,Romance
918,Thriller
1060,Animation
1060,Adventure
1060,Comedy
1060,Drama
1060,Family
1060,Romance
1060,Sci-Fi
548,Drama
548,Family
548,Fantasy
548,Romance
461,Action
461,Crime
461,Mystery
634,Crime
634,Drama
634,Thriller
837,Action
837,Horror
837,Sci-Fi
837,Thriller
795,Animation
795,Adventure
795,Family
795,Fantasy
18,Drama
18,Musical
654,Adventure
654,Drama
654,Thriller
339,Drama
339,Fantasy
339,Romance
250,Action
250,Thriller
49,Drama
976,Drama
976,Thriller
545,Action
545,Drama
545,Sci-Fi
545,Thriller
144,Drama
256,Crime
256,Drama
273,Crime
273,Drama
877,Comedy
288,Action
288,Crime
288,Sci-Fi
288,Thriller
518,Horror
518,Mystery
518,Thriller
389,Adventure
389,Drama
389,War
994,Drama
59,Drama
143,Drama
803,Adventure
803,Comedy
803,Family
803,Fantasy
803,Romance
487,Fantasy
487,Horror
79,Thriller
79,Crime
79,Drama
527,Action
527,Sci-Fi
1074,Crime
1074,Drama
1074,Thriller
232,Crime
232,Mystery
232,Thriller
760,Drama
760,Horror
760,Mystery
565,Crime
565,Drama
565,Thriller
57,Comedy
57,Drama
1035,Action
1035,Comedy
1035,Sci-Fi
348,Action
348,Comedy
348,Crime
348,Thriller
1008,Drama
1008,Mystery
1008,Thriller
759,Fantasy
759,Horror
779,Horror
710,Drama
710,Romance
538,Drama
538,Horror
156,Drama
311,Action
311,Thriller
1081,Action
1081,Animation
1081,Comedy
1081,Crime
1081,Family
1081,Fantasy
1081,Thriller
1071,Horror.Mystery
1071,Thriller
1071,Drama
543,Drama
950,Comedy
69,Drama
882,Drama
882,Fantasy
347,Drama
347,Thriller
276,Action
276,Fantasy
276,Thriller
276,Crime
878,Drama
878,Comedy
878,Romance
535,Drama
535,Thriller
983,Crime
983,Drama
983,Thriller
448,Drama
343,Drama
552,Comedy
552,Crime
157,Drama
157,Mystery
157,Thriller
897,Horror
897,Sci-Fi
995,Drama
854,Western
948,Adventure
948,Drama
948,Romance
948,Sci-Fi
733,Horror
817,Horror
340,Action
340,Comedy
340,Horror
340,Sci-Fi
253,Action
253,Thriller
670,Sci-Fi
670,Action
670,Thriller
492,Crime
492,Drama
980,Crime
980,Drama
980,Horror
980,Mystery
980,Thriller
411,Comedy
411,Drama
1056,Comedy
364,Drama
364,Romance
1083,Crime
1083,Drama
1083,Romance
1083,Thriller
150,Comedy
150,Mystery
150,Thriller
381,Horror
381,Thriller
903,Crime
903,Drama
903,Horror
903,Thriller
83,Drama
83,Adventure
500,Adventure
500,Comedy
500,Sci-Fi
820,Drama
169,Comedy
169,Crime
100,Action
100,Comedy
171,Crime
171,Thriller
32,Drama
648,Drama
371,Comedy
371,Drama
772,Action
772,Drama
772,Romance
772,War
1015,Action
1015,Adventure
1015,Sci-Fi
1015,Thriller
354,Drama
354,Romance
354,Sci-Fi
613,Drama
613,Crime
613,Thriller
677,Animation
677,Action
677,Comedy
677,Family
677,Sci-Fi
38,Comedy
38,Sci-Fi
1016,Action
1016,Drama
1016,Thriller
204,Drama
204,Musical
204,Romance
63,Drama
63,Horror
63,Thriller
333,Family
333,Sci-Fi
333,Adventure
333,Fantasy
483,Horror
483,Thriller
866,Action
866,Drama
866,War
1097,Action
1097,Thriller
1097,Adventure
489,Horror
45,Action
45,Horror
45,Sci-Fi
45,Thriller
349,Action
349,Sci-Fi
349,Thriller
1079,Adventure
1079,Drama
399,Horror
1085,Action
1085,Adventure
1085,Comedy
619,Crime
619,Drama
619,Thriller
280,Drama
280,Fantasy
280,Mystery
280,Romance
401,Comedy
401,Horror
401,Thriller
703,Drama
703,Mystery
703,Sci-Fi
703,Thriller
871,Action
871,Comedy
871,Fantasy
423,Action
423,Adventure
423,Drama
423,Thriller
176,Crime
176,Drama
176,Romance
623,Comedy
623,Fantasy
623,Horror
455,Horror
455,Mystery
455,Thriller
315,Thriller
796,Action
796,Adventure
796,Drama
796,Sci-Fi
781,Drama
561,Comedy
561,Horror
561,Thriller
683,Action
683,Crime
683,Drama
683,Thriller
907,Comedy
907,Crime
907,Musical
416,Crime
416,Drama
41,Action
41,Horror
41,Sci-Fi
41,Thriller
611,Comedy
611,Drama
848,Action
848,Comedy
848,Crime
868,Action
868,Crime
868,Drama
421,Action
421,Crime
421,Drama
421,Thriller
485,Action
485,Adventure
485,Fantasy
852,Action
852,Crime
852,Thriller
368,Action
368,Adventure
368,Fantasy
368,Sci-Fi
896,Drama
896,Romance
807,Horror
807,Mystery
807,Thriller
643,Action
643,Adventure
643,Sci-Fi
432,Drama
904,Horror
578,Action
578,Adventure
578,Drama
578,Mystery
578,Thriller
718,Comedy
718,Drama
718,Family
718,Romance
194,Comedy
261,Animation
261,Adventure
261,Family
261,Fantasy
142,Comedy
142,Drama
208,Comedy
208,Drama
208,Thriller
74,Drama
74,Mystery
74,Thriller
973,Comedy
973,Drama
251,Action
251,Crime
251,Drama
141,Comedy
141,Fantasy
344,Drama
640,Drama
640,Romance
241,Action
241,Adventure
241,Drama
241,Fantasy
189,Comedy
189,Fantasy
189,Sci-Fi
302,Action
302,Horror
302,Thriller
40,Drama
925,Comedy
925,Romance
925,Drama
221,Comedy
221,Drama
221,Romance
575,Comedy
575,Drama
53,Drama
847,Action
20,Animation
20,Adventure
20,Drama
20,Fantasy
20,Sci-Fi
693,Drama
318,Comedy
318,Drama
318,Thriller
970,Drama
970,Horror
970,Musical
1000,Comedy
1000,Family
114,Drama
114,Thriller
114,Western
529,Action
529,Adventure
1088,Action
1088,Comedy
1088,Sci-Fi
1088,Western
37,Comedy
37,Romance
804,Comedy
804,Drama
804,Mystery
865,Drama
865,Romance
823,Action
823,Adventure
931,Action
931,Thriller
378,Action
378,Drama
378,Thriller
452,Crime
452,Drama
559,Adventure
559,Comedy
434,Crime
434,Drama
175,Comedy
175,Drama
728,Family
728,Musical
420,Action
420,Comedy
420,Crime
420,Drama
777,Drama
777,Romance
1101,Action
1101,Fantasy
1101,Sci-Fi
1101,Thriller
671,Action
671,Sci-Fi
671,Thriller
1018,Crime
1018,Drama
1018,Thriller
264,Action
264,Sci-Fi
264,Thriller
639,Comedy
639,Drama
639,Romance
512,Action
512,Adventure
512,Comedy
512,Crime
798,Drama
337,Comedy
1072,Horror
1072,Thriller
748,Action
748,Adventure
748,Sci-Fi
649,Comedy
96,Action
96,Thriller
1025,Action
1025,Adventure
1025,Sci-Fi
955,Comedy
955,Drama
98,Drama
706,Comedy
708,Comedy
734,Action
734,Fantasy
734,Horror
773,Drama
773,Horror
773,Thriller
456,Action
456,Crime
456,Drama
456,Thriller
632,Action
632,Adventure
632,Fantasy
180,Crime
180,Drama
180,Thriller
801,Drama
801,Romance
767,Animation
767,Adventure
767,Comedy
209,Drama
1046,Action
1046,Drama
1046,Sci-Fi
1046,Thriller
732,Crime
732,Drama
732,Thriller
664,Drama
664,Romance
886,Drama
886,Horror
886,Comedy
352,Action
352,Adventure
352,Sci-Fi
352,Thriller
219,Comedy
219,Crime
219,Thriller
620,Adventure
620,Animation
620,Family
620,Musical
97,Thriller
805,Comedy
805,Musical
895,Horror
895,Thriller
717,Comedy
717,Romance
577,Crime
577,Drama
577,Thriller
802,Action
802,Horror
802,Sci-Fi
71,Comedy
71,Crime
255,Crime
255,Drama
125,Drama
51,Comedy
51,Drama
51,Romance
293,Drama
342,Comedy
28,Comedy
28,Drama
76,Comedy
76,Romance
811,Horror
811,Thriller
1001,Action
1001,Adventure
1001,Comedy
1001,Romance
425,Action
425,Adventure
425,Horror
425,Thriller
425,Sci-Fi
244,Drama
244,Sci-Fi
397,Thriller
956,Crime
956,Thriller
956,Sci-Fi
956,Mystery
956,Action
956,Drama
431,Drama
431,Action
1092,Comedy
642,Action
642,Crime
573,Romance
573,Fantasy
573,Comedy
77,Drama
119,Crime
119,Thriller
119,Drama
841,Animation
841,Adventure
841,Family
388,Comedy
388,Drama
149,Drama
149,Fantasy
149,Comedy
149,Adventure
370,Comedy
370,Crime
370,Thriller
595,Drama
595,Romance
521,Drama
446,Drama
446,Romance
682,Action
682,Thriller
682,Drama
325,Action
325,Adventure
325,Fantasy
516,Drama
951,Western
754,Comedy
754,Drama
754,Romance
238,Action
238,Adventure
238,Fantasy
238,Thriller
366,Action
366,Drama
366,Thriller
514,Comedy
466,Action
466,Crime
466,Thriller
466,Drama
560,Thriller
560,Mystery
451,Comedy
451,Fantasy
451,Horror
451,Sci-Fi
725,Comedy
725,Romance
211,Horror
211,Thriller
588,Drama
588,Romance
1019,Action
1019,Drama
1019,Thriller
27,Comedy
835,Animation
835,Family
835,Adventure
627,Crime
627,Drama
627,Mystery
598,Action
598,Adventure
598,Drama
598,War
292,Horror
292,Drama
292,Sci-Fi
292,Thriller
614,Adventure
614,Drama
809,Horror
809,Thriller
809,Fantasy
809,Mystery
550,Adventure
550,Action
550,Crime
550,Thriller
508,Drama
508,Thriller
508,War
1063,Action
1063,Adventure
1063,Sci-Fi
1063,Thriller
351,Comedy
351,Drama
91,Adventure
91,Fantasy
91,Action
91,Comedy
91,Horror
971,Drama
517,Comedy
517,Drama
517,Romance
222,Horror
222,Sci-Fi
222,Thriller
1090,Comedy
1090,Drama
226,Action
226,Crime
226,Drama
226,Thriller
940,Action
940,Adventure
940,Drama
940,Sci-Fi
940,Thriller
546,Romance
546,Comedy
341,Action
341,Thriller
341,Crime
341,Western
426,Comedy
426,Drama
259,Drama
259,Romance
259,Comedy
1067,Drama
1067,Romance
532,Comedy
532,Drama
532,Thriller
326,Action
326,Crime
326,Drama
757,Crime
757,Drama
757,Thriller
328,Comedy
586,Animation
586,Action
586,Comedy
586,Family
824,Drama
824,Romance
223,Action
223,Crime
223,Drama
223,Mystery
223,Thriller
881,Drama
881,Romance
571,Drama
556,Action
556,Horror
556,Sci-Fi
556,Thriller
418,Thriller
418,Action
418,Crime
418,Drama
1095,Comedy
1095,Drama
359,Adventure
359,Drama
359,Fantasy
254,Action
254,Adventure
254,Fantasy
657,Drama
657,Thriller
657,Horror
430,Crime
430,Drama
430,Mystery
764,Comedy
764,Action
764,Family
764,Thriller
594,Action
594,Thriller
330,Comedy
330,Family
330,Musical
252,Mystery
252,Romance
252,Thriller
987,Action
987,Adventure
