Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score,Clean_Script_Title,title_match
865,Save the Last Dance,Save the Last Dance,,6/1/1999,10398.0,2001.0,53.0,59.0,Save the Last Dance,1
868,Scarface,Scarface,,,12881.0,1983.0,88.0,94.0,Scarface,1
872,Scream,Scream,,7/1/1995,17135.0,1996.0,80.0,78.0,Scream,1
873,Scream 2,Scream 2,,6/19/1905,16559.0,1997.0,81.0,55.0,Scream 2,1
874,Scream 3,Scream 3,,5/1/1999,13688.0,2000.0,36.0,38.0,Scream 3,1
877,Semi-Pro,Semi-Pro,2/8/2014,6/6/2014,770674955.0,2008.0,21.0,38.0,Semi-Pro,1
878,Sense and Sensibility,Sense and Sensibility,,6/17/1905,10042.0,1995.0,98.0,90.0,Sense and Sensibility,1
879,Serenity,Serenity,9/5/2014,4/4/2014,8266.0,2005.0,82.0,92.0,Serenity,1
883,Sex and the City,Sex and the City,5/8/2014,,770680567.0,2008.0,49.0,77.0,Sex and the City,1
885,Sexual Life,Sexual Life,3/5/2014,,175340718.0,2004.0,-1.0,43.0,Sexual Life,1
887,Shakespeare in Love,Shakespeare in Love,,,14753.0,1998.0,93.0,80.0,Shakespeare in Love,1
888,Shallow Grave,Shallow Grave,2/1/1995,,16178.0,1994.0,72.0,83.0,Shallow Grave,1
889,Shame,Shame,12/11/2014,,771251632.0,2011.0,79.0,75.0,Shame,1
892,She's Out of My League,She's Out of My League,3/10/2014,,770682073.0,2010.0,58.0,59.0,She's Out of My League,1
893,Sherlock Holmes,Sherlock Holmes,12/9/2014,9/8/2014,770796118.0,2009.0,70.0,77.0,Sherlock Holmes,1
894,Shifty,Shifty,9/9/2014,,770804365.0,2008.0,96.0,67.0,Shifty,1
896,"Shipping News, The",The Shipping News,1/2/2014,2/1/1999,13675.0,2001.0,55.0,63.0,The Shipping News,1
897,Shivers,Shivers,7/1/1976,,770934827.0,1999.0,-1.0,100.0,Shivers,1
899,Shrek the Third,Shrek the Third,5/7/2014,,387253026.0,2007.0,40.0,53.0,Shrek the Third,1
900,Sideways,Sideways,1/5/2014,5/3/2014,12851.0,2004.0,96.0,78.0,Sideways,1
905,Silver Linings Playbook,Silver Linings Playbook,12/12/2014,,771253886.0,2012.0,92.0,86.0,Silver Linings Playbook,1
907,Sister Act,Sister Act,5/1/1992,7/1/1991,10317.0,1992.0,71.0,64.0,Sister Act,1
908,Six Degrees of Separation,Six Degrees of Separation,12/1/1993,4/1/1992,13622.0,1993.0,88.0,72.0,Six Degrees of Separation,1
910,Sleepless in Seattle,Sleepless in Seattle,,5/1/1992,12631.0,1993.0,71.0,75.0,Sleepless in Seattle,1
913,Slither,Slither,3/6/2014,9/4/2014,133759650.0,2006.0,86.0,62.0,Slither,1
914,Slumdog Millionaire,Slumdog Millionaire,1/9/2014,11/7/2014,770770017.0,2008.0,94.0,90.0,Slumdog Millionaire,1
915,Smashed,Smashed,10/12/2014,9/11/2014,771266233.0,2012.0,84.0,67.0,Smashed,1
916,Smokin' Aces,Smokin' Aces,1/7/2014,4/5/2014,387399996.0,2007.0,29.0,62.0,Smokin' Aces,1
917,Snatch,Snatch,1/1/2014,8/1/1999,16867.0,2001.0,73.0,94.0,Snatch,1
920,Snow White and the Huntsman,Snow White and the Huntsman,6/12/2014,11/11/2014,771218292.0,2012.0,48.0,52.0,Snow White and the Huntsman,1
921,So I Married an Axe Murderer,So I Married an Axe Murderer,,6/15/1905,10601.0,1993.0,52.0,69.0,So I Married an Axe Murderer,1
923,Soldier,Soldier,10/1/1998,10/1/1997,13402.0,1998.0,10.0,43.0,Soldier,1
925,Something's Gotta Give,Something's Gotta Give,12/3/2014,6/2/2014,10126.0,2003.0,71.0,70.0,Something's Gotta Give,1
926,Source Code,Source Code,4/11/2014,1/7/2014,771174105.0,2011.0,92.0,81.0,Source Code,1
928,Spanglish,Spanglish,12/4/2014,,10163.0,2004.0,53.0,61.0,Spanglish,1
930,Spartan,Spartan,,2/2/2014,13523.0,2004.0,64.0,63.0,Spartan,1
932,Speed Racer,Speed Racer,5/8/2014,1/7/2014,770669719.0,2008.0,39.0,60.0,Speed Racer,1
935,St. Elmo's Fire,St. Elmo's Fire,6/1/1985,9/1/1984,13025.0,1985.0,47.0,70.0,St. Elmo's Fire,1
